app,user,platform,target
Verified Ax,804f9d19-0988-4c5b-a6de-2cb39776ef60,ios,1
"MacGuffins, LLC",c6d3181b-b257-4122-80cc-e71c07669023,android,1
Verified Ax,bc415f94-a2b2-4935-966b-1cda0f69eb1a,android,1
"MacGuffins, LLC",d3b12198-d1cf-4438-9fe7-19787c4cfacc,ios,1
OnTheGo Cap'n,14873b91-a68d-4cbf-bceb-193c5180faae,android,0
Verified Ax,2236d51c-7655-4435-8d67-0dbac12de650,ios,0
"MacGuffins, LLC",e217befb-c65a-4d20-b705-7b9080c96a7b,ios,1
Verified Ax,40918998-cf66-4de9-84ec-6369619cfa7c,android,1
"MacGuffins, LLC",ce05c55e-eafa-4e78-9fc5-ef32fe53bd63,ios,1
"MacGuffins, LLC",ff75ad40-02c0-4d28-86f9-b420686c377e,android,0
OnTheGo Cap'n,84f26500-12e8-4752-ba3e-9ff27dc4f47b,ios,0
Kinetic Bond,7530626a-4205-47db-9541-b682faa4e0e7,ios,0
Verified Ax,250470a1-b776-422d-8899-cf615f52e226,ios,0
Verified Ax,842187fe-6263-4a68-b9e0-8a981293906f,ios,1
Verified Ax,087200b8-f5f6-4b24-a5a3-58ede21e039d,ios,1
Verified Ax,29f105e4-d8cb-47ca-ac26-3cf60b566c66,ios,0
"MacGuffins, LLC",ae392d76-8567-463c-bd6b-30b20357abb0,android,1
Verified Ax,766cd367-4e85-4724-a782-40bfb9700b58,android,1
"MacGuffins, LLC",f53e33db-f83a-4fa8-8e7a-a7cdb849c47a,android,1
"MacGuffins, LLC",7a1a625c-d177-44db-89b1-5e3c22afceee,ios,0
Verified Ax,09f0147a-ddf7-4b56-96d7-f2dfda0dfacd,android,0
Walnut Forge,97514986-0f3d-485c-9a09-888234015ddc,android,1
"MacGuffins, LLC",869d746a-8f89-470c-b298-32d67dd263ef,ios,0
Verified Ax,812b2511-efcd-4f70-8efc-676cab89f64f,ios,1
Kinetic Bond,3fb8ecdf-ac62-42aa-a2f5-7e99ebbd941e,android,0
"MacGuffins, LLC",18f82bd2-f0ce-41a3-9997-4753049cad3a,ios,0
"MacGuffins, LLC",41acf4f3-34fd-4aa7-a7ff-11e80cfb8954,android,0
"MacGuffins, LLC",eebb3d6c-6db1-4996-88e8-f7a27c32bba9,android,1
"MacGuffins, LLC",cdbc1e87-a468-4c0a-8b9e-f7908d3bbc72,ios,0
Verified Ax,7d90476b-39f2-4b88-92f2-7545f32f5918,android,0
Organization Four,7c09b4ae-4582-4076-9ae2-364911b654b5,android,1
Kinetic Bond,6683b3b6-0364-4ebc-aed8-32453f4cd9c4,android,0
Kinetic Bond,31d14f32-de1c-444c-b578-62523a12dd5a,ios,0
"MacGuffins, LLC",ed47de6d-a8ce-418e-8a4c-6430d0a85274,android,1
"MacGuffins, LLC",5037e829-8d84-4ec5-9f1e-e79fdd493d8b,android,0
"MacGuffins, LLC",495f2c82-6c36-4264-8a51-6f9786d7566a,ios,1
Verified Ax,6bc76916-6a62-4aa8-9b45-784e7daeef01,ios,1
Verified Ax,f3bdf4e0-6cc1-43bf-a433-68f598029d6f,android,1
Kinetic Bond,9e26772b-74b0-4ea2-8b89-380006489aee,ios,0
"MacGuffins, LLC",38594c15-bc4c-4265-8a31-58229a1a6916,ios,0
